outer_iter,p_penal,p_step,lambda_correction,lambda_penalty,lambda_reference,lambda_effective,compliance,volume_fraction_before,volume_residual_before,volume_fraction,volume_residual,theta_state_change,design_change,compliance_change,mechanics_iters,design_iters,mechanics_energy,design_energy,mechanics_message,design_message
11,1.0,0.0,-0.12953832282706645,0.1762359327549734,3.7350262393420914,3.7817238492699983,2.8353125614332835,0.41762359327549736,0.01762359327549734,0.41762359327549736,0.01762359327549734,0.07791232489067222,0.0,0.06448891353994686,9,0,-1.4176143913649328,6.0149705810113705,Gradient norm converged,Gradient norm converged
12,1.0,0.0,0.6603566769586384,0.1762359327549734,3.7350262393420914,4.571618849055703,2.8353125614332835,0.41762359327549736,0.01762359327549734,0.40208567264843126,0.002085672648431236,0.0,0.04769361871693463,0.0,0,5,-1.4176143913649328,6.656524303651743,Gradient norm converged,Gradient norm converged
13,1.0,0.0,0.7538371817814637,0.02085672648431236,4.292169910834711,5.066863819100487,2.957386709807103,0.40208567264843126,0.002085672648431236,0.39279657069071217,-0.0072034293092878565,0.04769361871693463,0.030329315212511136,0.04305491748398616,8,4,-1.4787027393687038,7.041878357041356,Gradient norm converged,Gradient norm converged
14,1.0,0.0,0.38281707134766135,-0.07203429309287857,4.658517807681037,4.96930058593582,3.0386008892725083,0.39279657069071217,-0.0072034293092878565,0.39279657069071217,-0.0072034293092878565,0.030329315212511136,0.0,0.02746146765185895,7,0,-1.519308599924934,6.964303784480183,Gradient norm converged,Gradient norm converged
15,1.0,0.0,-0.019870573216606624,-0.07203429309287857,4.658517807681037,4.566612941371552,3.0386008892725083,0.39279657069071217,-0.0072034293092878565,0.39279657069071217,-0.0072034293092878565,0.0,0.0,0.0,0,0,-1.519308599924934,6.6479551327914574,Gradient norm converged,Gradient norm converged
16,1.0,0.0,-0.4225582177808746,-0.07203429309287857,4.658517807681037,4.163925296807284,3.0386008892725083,0.39279657069071217,-0.0072034293092878565,0.3954883471878944,-0.004511652812105638,0.0,0.009384044060934621,0.0,0,2,-1.519308599924934,6.32885685683073,Gradient norm converged,Gradient norm converged
17,1.0,0.0,-0.6747695973880947,-0.045116528121056376,4.658517807681039,3.938631682171888,3.0386008892725083,0.3954883471878944,-0.004511652812105638,0.4048317079735107,0.004831707973510679,0.009384044060934621,0.030282130221232172,0.0,0,4,-1.5066921173867656,6.191116501915236,Gradient norm converged,Gradient norm converged
18,1.0,0.0,-0.40466642575472717,0.048317079735106794,4.18413657273534,3.8277872267157194,2.9395222862484522,0.4048317079735107,0.004831707973510679,0.4048317079735107,0.004831707973510679,0.030282130221232172,0.0,0.032606652414880685,7,0,-1.4662424216698402,6.066944374314723,Gradient norm converged,Gradient norm converged
19,1.0,0.0,-0.16206811326581133,0.048317079735106794,4.18413657273534,4.070385539204635,2.9395222862484522,0.4048317079735107,0.004831707973510679,0.4048317079735107,0.004831707973510679,0.0,0.0,0.0,0,0,-1.4662424216698402,6.263367352707478,Gradient norm converged,Gradient norm converged
20,1.0,0.5,0.0805301992231045,0.048317079735106794,4.18413657273534,4.31298385169355,2.9395222862484522,0.4048317079735107,0.004831707973510679,0.4048317079735107,0.004831707973510679,0.0,0.0,0.0,0,0,-1.4662424216698402,6.459790331100235,Gradient norm converged,Gradient norm converged
