ksp_type,ksp_rtol,it,energy,dE,grad_norm,alpha,ksp_its,ls_evals
cg,1e-01,77,55247.38980447364,290.40448504316737,1193554.4468483783,-0.49964995802247814,9,17
cg,1e-01,78,54976.95311660179,270.43668787185015,1191382.729869646,-0.49964995802247814,9,17
cg,1e-01,79,54814.44718423289,162.50593236889836,1190507.0159332484,-0.49964995802247814,8,17
cg,1e-01,80,54372.76436915482,441.68281507807114,1188601.8219600972,-0.49964995802247814,8,17
cg,1e-01,81,53549.271269050725,823.4931001040968,1180702.1044109166,-0.49964995802247814,13,17
cg,1e-01,82,53100.58537572918,448.68589332154806,1172555.230906382,-0.49964995802247814,8,17
cg,1e-01,83,52912.27033813606,188.31503759311454,1166618.7835209456,-0.49964995802247814,5,17
cg,1e-01,84,52678.90744653139,233.36289160467277,1164004.5262813228,-0.49964995802247814,6,17
cg,1e-01,85,46403.4739678553,6275.433478676088,1162124.4094199166,-0.49964995802247814,39,17
cg,1e-01,86,52199.501734750585,-5796.027766895284,1077449.3779987053,0.001953125,44,17
cg,1e-01,87,51153.595492762564,1045.906241988021,1170270.0593705608,-0.49964995802247814,12,17
cg,1e-01,88,50422.75071441472,730.8447783478478,1161228.9209817043,-0.49964995802247814,12,17
cg,1e-01,89,54287.39106196134,-3864.6403475466213,1150624.7270736056,0.25,29,17
cg,1e-01,90,53130.283880479175,1157.1071814821626,1199982.1629615012,-0.49964995802247814,12,17
cg,1e-01,91,58493.96911383763,-5363.685233358454,1182370.8402527086,0.0078125,38,17
cg,1e-01,92,65099.0570767716,-6605.087962933969,1260766.7908286194,0.0009765625,42,17
cg,1e-01,93,74301.43082595736,-9202.373749185761,1354517.0750311592,0.0001220703125,50,17
cg,1e-01,94,84955.46349244987,-10654.032666492509,1485278.5785276857,0.00390625,50,17
cg,1e-01,95,77106.37784467652,7849.085647773347,1626220.7867037063,-0.49964995802247814,23,17
cg,1e-01,96,85822.35656834948,-8715.97872367296,1534841.6610597535,0.00390625,35,17
cg,1e-01,97,94164.87098434914,-8342.514415999656,1649432.1571425428,0.001953125,34,17
cg,1e-01,98,94142.49817324607,22.372811103065033,1755042.4746014995,-0.49964995802247814,1,17
cg,1e-01,99,94113.1864137958,29.311759450269165,1754776.992623223,-0.49964995802247814,1,17
cg,1e-01,100,97714.2743988494,-3601.0879850536003,1754724.4353658604,0.25,18,17
cg,1e-01,101,97162.81509978184,551.4592990675592,1792627.6939286534,-0.49964995802247814,5,17
cg,1e-01,102,113148.7188478509,-15985.90374806906,1788751.5920181791,0.0078125,40,17
cg,1e-01,103,112270.66739442691,878.0514534239919,1994288.1344953491,-0.49964995802247814,4,17
cg,1e-01,104,110927.41835994982,1343.2490344770922,1982547.6032326487,-0.49964995802247814,5,17
cg,1e-01,105,128969.67813000407,-18042.259770054254,1983906.638476813,0.001953125,30,17
cg,1e-01,106,139745.88851064027,-10776.2103806362,2231999.322472342,0.000244140625,27,17
cg,1e-01,107,145245.86221641806,-5499.973705777782,2346277.2897716905,0.125,19,17
cg,1e-01,108,137955.4885737047,7290.373642713355,2408307.3961950755,-0.37219214591692673,9,17
cg,1e-01,109,136947.19581044783,1008.2927632568753,60422144.10901616,-0.49964995802247814,4,17
cg,1e-01,110,136941.436804047,5.759006400825456,60402940.24512915,-0.49964995802247814,1,17
cg,1e-01,111,136937.96294638264,3.473857664357638,60402929.63975678,-0.49964995802247814,1,17
cg,1e-01,112,136935.63225208034,2.3306943023053464,60402919.480063155,-0.49964995802247814,1,17
cg,1e-01,113,136788.06808656198,147.56416551835719,60402911.71533,-0.49964995802247814,2,17
cg,1e-01,114,146474.05659005768,-9685.988503495697,60398499.15541768,0.0078125,20,17
cg,1e-01,115,159604.79080953592,-13130.73421947824,63000139.080161706,0.015625,23,17
cg,1e-01,116,170360.294104872,-10755.503295336093,66388116.073143095,0.0078125,23,17
cg,1e-01,117,180652.52458739057,-10292.230482518557,69094655.78649145,1.9073486328125e-06,23,17
cg,1e-01,118,197502.75854706042,-16850.23395966986,71671151.8531414,0.0078125,20,17
cg,1e-01,119,196503.95950066415,998.7990463962778,75791217.69733192,-0.49964995802247814,2,17
cg,1e-01,120,212024.6000203373,-15520.64051967315,75563803.09831525,0.0078125,22,17
cg,1e-01,121,230670.70737838637,-18646.107358049077,76983482.40659437,0.00390625,23,17
cg,1e-01,122,244057.359426281,-13386.652047894633,60430035.17791406,0.00390625,21,17
cg,1e-01,123,238161.06488317085,5896.294543110154,62359374.27976779,-0.2794562211420254,6,17
cg,1e-01,124,254936.5697147455,-16775.504831574654,63391767.24498806,0.0078125,17,17
cg,1e-01,125,266310.45606321923,-11373.886348473723,66100512.44285527,0.0078125,16,17
cg,1e-01,126,288458.5444686908,-22148.088405471586,67616347.09584482,0.015625,18,17
cg,1e-01,127,307856.6925490253,-19398.148080334475,70598828.57090238,0.0078125,13,17
cg,1e-01,128,332009.0542086291,-24152.361659603834,63866630.47484513,0.0078125,17,17
cg,1e-01,129,348031.4694668656,-16022.415258236462,62557380.2434571,0.00390625,14,17
cg,1e-01,130,373110.81557853037,-25079.34611166478,60052360.1095626,0.000244140625,16,17
cg,1e-01,131,390823.3584792105,-17712.542900680157,58072032.05643016,0.015625,12,17
cg,1e-01,132,415683.6354470223,-24860.276967811747,58704989.68622692,0.03125,15,17
cg,1e-01,133,425462.5189057128,-9778.883458690543,60066559.004934765,0.0009765625,15,17
cg,1e-01,134,433154.7378631736,-7692.218957460776,60598948.4761142,0.00390625,15,17
cg,1e-01,135,452327.1288264617,-19172.390963288082,61232518.00656189,0.00048828125,16,17
cg,1e-01,136,487547.2550115294,-35220.126185067755,63049124.51049739,0.0078125,13,17
cg,1e-01,137,518406.3983217213,-30859.143310191866,65609624.91881573,0.0078125,13,17
cg,1e-01,138,540863.9273846268,-22457.529062905523,68416543.54836911,0.015625,15,17
cg,1e-01,139,565718.7656780208,-24854.838293393957,70194560.05491337,0.001953125,15,17
cg,1e-01,140,565638.6735733509,80.09210466989316,71843632.78681329,-0.49964995802247814,1,17
cg,1e-01,141,573696.788819442,-8058.115246091154,71844065.17724407,0.0625,8,17
cg,1e-01,142,592888.6791305466,-19191.890311104595,72315386.07580546,0.015625,12,17
cg,1e-01,143,591259.0978432769,1629.5812872697134,73711769.09335813,-0.20914709512171836,2,17
cg,1e-01,144,628928.1593083327,-37669.0614650558,73794680.55126253,0.0078125,15,17
cg,1e-01,145,685178.3530534848,-56250.19374515209,76829736.79987195,0.015625,13,17
cg,1e-01,146,704436.5945573183,-19258.241503833444,78956730.87361445,0.001953125,14,17
cg,1e-01,147,704167.4277808141,269.16677650413476,78748724.98116452,-0.49964995802247814,1,17
cg,1e-01,148,732458.6395250984,-28291.211744284257,78748652.67075263,0.00390625,14,17
cg,1e-01,149,744879.6172668289,-12420.977741730516,74922994.07364115,0.0009765625,14,17
cg,1e-01,150,782468.0365055142,-37588.41923868528,75397374.09836918,0.001953125,14,17
cg,1e-01,151,811181.5814167283,-28713.54491121415,53615802.89656798,0.00048828125,13,17
